Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,86.0,-55.95,180.0,top
C1,10uF,C_0805_2012Metric,81.5,-64.0,0.0,top
C2,10uF,C_0805_2012Metric,81.0,-56.45,90.0,top
C3,0.1uF,C_0805_2012Metric,89.0,-67.5,0.0,top
C4,10uF,C_0805_2012Metric,89.0,-65.5,180.0,top
C5,47pF,C_0402_1005Metric,106.28,-55.2,180.0,top
C6,4.7uF,C_0805_2012Metric,85.35625,-67.275,180.0,top
C7,4.7uF,C_0805_2012Metric,85.90625,-59.0,180.0,top
D1,LED,LED_0805_2012Metric,89.0625,-61.0,0.0,top
J1,Conn_Coaxial,U.FL_Molex_MCRF_73412-0110_Vertical,110.8,-55.2,-90.0,top
L1,27nH,L_0402_1005Metric,107.8,-53.7,-90.0,top
R1,10k,R_0805_2012Metric,81.0,-67.4125,90.0,top
R2,10k,R_0805_2012Metric,81.0,-52.9125,-90.0,top
R3,2k,R_0805_2012Metric,85.40625,-65.275,180.0,top
R4,1k,R_0805_2012Metric,89.0875,-63.5,180.0,top
R5,10k,R_0805_2012Metric,107.0,-61.0,0.0,top
U1,XIAO-nRF52840-SMD,XIAO-nRF52840-SMD,68.7973,-60.2825,90.0,top
U2,NEO-M9V-20B,XCVR_NEO-M9V-20B,98.195,-61.2,180.0,top
U3,AP2112K-3.3,SOT-23-5,81.55,-60.6375,90.0,top
U4,MCP73831-2-OT,SOT-23-5,85.35625,-62.1375,-90.0,top
